username,age,email,password,profiles,subscription,cardholder,cardnumber,expiry,securitycode,billingaddress,hex
MrDunne,36,ryan.dunne9@det.nsw.edu.au,Baulko11!!,Profile 1:36;Profile 2:16,premium,,,,,,#4abed5:#1F6AA5
q,1,q@q,q,q:1;2:20,神様,dunn't,4444333322221111,01/67,6767,dunne's house,#5466ff:#a39ad1
accongt1,17,cong@cong,cong,accongt1:17;accongt2:67,basic,cong,1337800813513376,09/30,1234,dunn't's house,#1F6AA5:#123456
liuqi,67,six@seven,cactus,liu:6;qi:7;liuqi:67,神様,cactus emoji,6767676767676767,07/67,6767,67 Sixty-Seven Street,#666666:#777777:#676767
sixswan,61,new@meme,NewMeme,six:6;swan:1;sixswan:61,神様,unc,6161616161616169,01/61,6161,61 Six-Swan Lake,#666666:#111111:#616161
SteveLam,28,steve.lam7@det.nsw.edu.au,KinCheung,stevelam:28;physicsnoobs:16,神様,Steve Kin Cheung Lam,1000200030004000,12/27,7896,English Advanced Band 6 Factory,#654321:#080085
blahaj,12,kala@tonsi,suwi,bighaj:12;smolhaj:11,神様,Blåhaj,1234123412341238,12/99,4444,fihh spawnpoint,#666777:#399399
nesa,9,qwerty@nesa.nsw.edu.au,nerdemoji,knee:9;saw:1,basic,nesa guy,6942069420694203,7/26,0000,people who decide it would be a good idea to put an initialism in an acronym factory,#000000:#000001
ProvoloneCheese,99,girraween@transfer,LetsPutAllTheApronsOnTheFloorTripOverThemAndKillOurselves,provolone:66;cheese:77,premium,Charles Tripolone,6677667766776673,12/34,5678,110 Gilba Road,#654321:#765432
takamura,20,単語@クイズ,onehundred,tall:20;village:15,神様,Mai Takamura,0800813580081352,02/71,8281,828 am i the next oiler 道,#333333:#444444
duck,55,duck@me,onehundredandone,duckduck:67;goose:69,premium,duck duck,0000111122223337,01/34,3434,the river,#343434:#434343
